Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Tariq Owens,NAP,19,27.5,10.8,4.5,6.8,0.654,0.4,1.3,0.32,1.5,2,0.737,2.2,5.3,7.5,0.5,0.9,1.4,1.4,2.5,Italian Lega Basket,PF
Ousmane Diop,SAS,13,20.1,10.7,3.5,6.2,0.556,0,0.1,0,3.8,5.1,0.742,2.8,2.9,5.7,0.6,0.8,0.5,2.2,3,Italian Lega Basket,PF
Aamir Simms,VEN,17,24.3,10.2,3.7,7.9,0.467,1.2,3.2,0.37,1.6,2.1,0.75,0.8,4.7,5.5,1.4,0.1,0,1.7,2.1,Italian Lega Basket,PF
Ryan Hawkins,PIS,18,28.7,9.2,3.1,8.1,0.384,1.8,5.4,0.34,1.2,1.5,0.778,0.8,3.3,4.1,1.1,1,0.3,1.2,1.8,Italian Lega Basket,PF
Nathan Adrian,CRE,18,26.9,9.1,3.2,6.8,0.472,1.5,3.5,0.429,1.2,1.5,0.778,0.9,3.8,4.7,1.3,0.7,0.4,1.1,2.6,Italian Lega Basket,PF
Jordan Philippe Bayehe,NBB,17,23.4,9.1,3.2,6,0.539,0.4,1,0.353,2.2,2.8,0.809,1.8,3.6,5.4,0.6,0.4,0.1,1.2,2.8,Italian Lega Basket,PF
Jason Burnell,BRE,19,20.7,8.1,3.3,6.8,0.485,0.4,2.3,0.186,1.1,1.3,0.833,1.2,2.5,3.6,1.9,0.7,0.3,0.7,2.5,Italian Lega Basket,PF
Nicolo Melli,MIL,17,23.4,7.9,3.4,6.7,0.509,0.5,1.8,0.258,0.6,1.5,0.423,1.4,4.1,5.5,1.9,0.6,0.5,1.4,2.2,Italian Lega Basket,PF
Quincy Ford,PES,17,26.4,7.9,3.1,6.8,0.461,1,2.9,0.34,0.6,1.4,0.478,1.2,5.1,6.3,1.3,1.8,0.6,1,2.3,Italian Lega Basket,PF
Alfonzo McKinnie,SAS,19,19.3,7.6,2.9,5.8,0.495,0.8,2.2,0.381,1,1.5,0.679,0.6,3.2,3.8,0.5,0.4,0.2,1.5,2.9,Italian Lega Basket,PF
Alex Poythress,MIL,16,15.5,7.6,2.8,5.1,0.543,0,0.1,0,2.1,3.2,0.667,1.8,1.8,3.5,0.4,0.6,0.4,1.3,2.8,Italian Lega Basket,PF
Kenny Gabriel,BRE,18,19.6,7.6,2.7,6.4,0.422,1.4,4.5,0.309,0.7,0.9,0.813,0.3,3.4,3.8,0.5,0.6,0.6,1.1,3.1,Italian Lega Basket,PF
Pauly Paulicap,TREV,19,23.1,7.4,2.6,4.3,0.617,0,0,0,2.1,3.3,0.635,2.7,4.6,7.4,0.3,0.5,1.5,0.9,2.7,Italian Lega Basket,PF
TaShawn Thomas,TORT,18,19.7,7.2,2.9,5.1,0.576,0,0.1,0,1.3,2.1,0.649,1.5,1.7,3.2,0.8,0.4,0.9,1.1,2.2,Italian Lega Basket,PF
Darion Atkins,REG,19,20.6,6.8,2.8,6.2,0.462,0.4,0.8,0.467,0.8,1.1,0.714,1.6,2.2,3.8,1.3,0.5,0.8,1.5,2.5,Italian Lega Basket,PF
"Derek Cooke, Jr.",TREN,19,15.4,5.8,2.5,4.6,0.545,0,0.1,0,0.7,1.3,0.583,2.1,2.7,4.8,0.9,0.4,0.5,0.8,2.2,Italian Lega Basket,PF
Andrea Mezzanotte,TREV,18,17.6,5.6,1.9,4.6,0.427,0.7,2.3,0.317,0.9,1.4,0.68,0.8,1.8,2.6,0.8,0.4,0.2,0.8,1.3,Italian Lega Basket,PF
Paul Eboua,CRE,19,16.3,5.2,1.9,4.1,0.474,0.6,2,0.289,0.7,1,0.737,1.4,2.4,3.8,0.4,0.5,0.3,0.7,2.1,Italian Lega Basket,PF
Jeff Brooks,VEN,17,16.2,5.2,2.1,3.4,0.621,0.5,1.2,0.4,0.5,0.5,0.889,0.8,2.3,3.1,0.4,0.2,0.3,0.5,0.7,Italian Lega Basket,PF
Mike Cobbins,BRE,17,15.6,5,2,3,0.667,0.1,0.1,1,0.9,1.8,0.533,1.5,2.5,3.9,0.9,0.6,0.6,1.3,2.5,Italian Lega Basket,PF
Achille Polonara,BOL,12,15.3,4.5,1.8,3.9,0.468,0.3,1.7,0.15,0.6,1.1,0.538,1.4,3.7,5.1,1.3,0.6,0.3,0.6,0.6,Italian Lega Basket,PF
Egidijus Mockevicius,PES,12,13.1,4.3,1.8,3.3,0.564,0,0,0,0.7,1,0.667,1.6,3.8,5.3,0.3,0.3,0.2,0.6,1.1,Italian Lega Basket,PF
Joonas Riismaa,NBB,17,14,4.2,1.3,2.7,0.478,0.5,1.6,0.321,1.1,1.4,0.792,0.5,1.2,1.7,0.6,0.5,0.1,0.8,1.5,Italian Lega Basket,PF
Devontae Cacok,BOL,12,13.5,4,1.7,3.3,0.5,0,0,0,0.7,1.5,0.444,1.4,2.2,3.6,0.3,0.4,0.1,0.7,2.1,Italian Lega Basket,PF
Nicola Akele,BRE,19,14,3.9,1.6,3.5,0.463,0.2,0.7,0.231,0.5,0.6,0.833,0.6,2.2,2.8,0.4,0.3,0.2,0.2,1.8,Italian Lega Basket,PF
Scott Ulaneo,VAR,16,12.8,3.9,1.6,3.1,0.51,0,0,0,0.8,2.1,0.353,1.7,2.4,4.1,0.5,0.3,0,0.8,2.3,Italian Lega Basket,PF
Giampaolo Ricci,MIL,16,10.6,2.4,0.9,2.8,0.318,0.4,1.4,0.261,0.3,0.3,1,0.4,1.1,1.5,0.7,0.3,0,0.3,1.8,Italian Lega Basket,PF
Angelo Del Chiaro,PIS,19,9.4,2.1,1,1.9,0.528,0,0,0,0.1,0.5,0.222,0.5,1.3,1.8,0.3,0.1,0.2,0.6,1.3,Italian Lega Basket,PF
Tomislav Zubcic,NAP,19,28.2,15.7,4.8,10.4,0.467,2.6,5.9,0.434,3.4,4.2,0.823,0.9,4.8,5.8,1.7,1.1,0.3,1.8,2.6,Italian Lega Basket,C
Leonardo Tote,PES,19,26.2,13.6,5,10.1,0.495,0,0.3,0,3.6,4.8,0.739,1.9,3.3,5.3,1,0.6,1,1.6,2.5,Italian Lega Basket,C
Miro Bilan,BRE,19,23.9,13.2,5.6,9.1,0.616,0.1,0.2,0.5,1.9,3,0.632,2.7,5.5,8.3,2.4,1,0.2,1.8,2.4,Italian Lega Basket,C
Terry Allen,TREV,19,27.6,12.1,4.5,9.1,0.497,1.2,3.6,0.333,1.8,2.2,0.81,1.3,3.3,4.6,1.2,0.8,0.2,1,2,Italian Lega Basket,C
