name,img_url,age,height,weight,nationality
Tadas Sedekerskis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sedekerskis_Tadas_18.jpg,26,6-9,205,Lithuania
Nemanja Radovic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-8,215,Montenegro
Vladimir Brodziansky,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Brodziansky_Vladimir_tcu.jpg,29,6-11,230,Slovakia
Mouhamet Diouf,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Diouf_Mouhamet_21.jpg,22,6-10,225,Italy/Senegal
Marcis Steinbergs,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,22,6-9,185,Latvia
Emir Sulejmanovic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sulejmanovic_Emir.jpg,28,6-9,220,Bosnia and Herzegovina
David Kravish,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kravish_David_ncaa_cal.jpg,31,6-10,240,United States
Aaron Doornekamp,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,38,6-7,212,Canada
Nikola Kalinic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kalinic_Nikola_eur22.jpg,32,6-8,222,Serbia
Pierre Pelos,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,31,N/A,N/A,France
Will Thomas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Thomas_Will_ncaa.jpg,37,6-7,230,United States
This De,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/DeRidder_Thijs_23.jpg,21,6-8,216,Belgium
Gabriel Deck,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Deck_Gabriel_okc21.jpg,29,6-8,232,Argentina
Damien Inglis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Inglis_Damien_mil1516.jpg,28,6-8,246,France
Xabier Lopez-Arostegui,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Lopezarostegui_Xabi_eur22.jpg,26,6-7,215,Spain
Joel Parra,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Parra_Joel_21.jpg,23,6-8,210,Spain
Sergi Martinez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-7,220,Spain
Eric Vila,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Vila_Eric_txam.jpg,25,6-11,221,Spain
Mindaugas Susinskas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,28,6-7,192,Lithuania
Mihajlo Andric,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Andric_Mihajlo_Euro.jpg,30,6-7,187,Serbia
Musa Sagnia,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sagnia_Musa_23.jpg,20,6-8,218,Gambia
Greg Whittington,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Whittington_Greg_den20.jpg,30,6-8,212,United States
Nate Reuvers,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Reuvers_Nate_wisc17.jpg,25,6-11,235,United States
Denzel Andersson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Andersson_Denzel_22.jpg,27,6-8,210,Sweden
Stefan Djordjevic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,25,6-8,214,Serbia
Miquel Salvo,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,29,6-9,198,Spain
Oriol Pauli,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,29,6-7,185,Spain
Yannick Kraag,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kraag_Yannick_22w.jpg,21,6-8,178,Netherlands
Tomasz Gielo,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Gielo_Tomasz_ncaa_lib.jpg,31,6-9,228,Poland
Pierre Oriola,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Oriola_Pierre_22.jpg,31,6-8,235,Spain
Alex Suarez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Suarez_Alejandro_euro.jpg,30,6-10,214,Spain
David Iriarte,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,28,6-9,220,Spain
Ruben Guerrero,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Gurerro_Ruben_usf.jpg,28,7-0,240,Spain
Nacho Llovet,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Llovet_Nacho_ACB.jpg,32,6-8,225,Spain
Artur Konontsuk,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Konontsuk_Arthur_somiss19.jpg,23,6-7,215,Estonia
Simon Birgander,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-11,208,Sweden
Willy Hernangomez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Hernangomez_Willy_nop22.jpg,29,6-11,250,Spain
Artem Pustovyi,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Pustovyi_Artem_euro.jpg,31,7-2,212,Ukraine
Anzejs Pasecniks,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Pasecniks_Anzejs_was20.jpg,28,7-1,229,Latvia
Marin Maric,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Maric_Marin_ncaaniu.jpg,29,6-11,240,Croatia
Ethan Happ,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Happ_Ethan_wisc.jpg,27,6-10,235,United States
Cristiano Felicio,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Felicio_Cristiano_chi20.jpg,31,6-10,275,Brazil
Giorgi Shermadini,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,34,7-1,250,Georgia
Jahlil Okafor,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Okafor_Jahlil_atl21.jpg,28,6-11,275,United States/Nigeria
Ante Tomic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Tomic_Ante_euro.jpg,36,7-1,225,Croatia
Dylan Osetkowski,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Osetkowski_Dylan_tul.jpg,27,6-9,250,United States/Germany
Matt Costello,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Costello_Matt_sas17.jpg,30,6-10,245,United States/Ivory Coast
